class	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subclass	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl
subject	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	1278.95409976	0.0	20766.4066085	3210.06676939	24736.0482655	25917.2521468	9433.96226415	1535.66941226	0.0	0.0	0.0	508.646998983	0.0	0.0	3523.60817477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Tenericutes.c__Mollicutes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3451.52180734	949.066751028	0.0	2543.23499491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632.711167352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12237.2136806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.f__Veillonellaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7825.87429689	0.0	0.0	0.0	0.0	0.0	3584.22939068	0.0	0.0	3164.10182655	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14119.8619391	63587.4723189	1595.9872321	0.0	0.0	5899.70501475	6342.49471459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	0.0	0.0	0.0	10272.213662	0.0	0.0	0.0	7957.5596817	5961.71948541	3163.55583676	27359.7811218	4069.17599186	102714.600147	0.0	6342.49471459	55917.8028058	186930.693069	80492.4242424	375832.053251	69444.4444444	111360.574764	277578.023875	46639.9197593	44188.4205921	60267.8571429
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria	8810.57268722	3684.41112946	4015.60348784	10143.8109913	5882.35294118	8274.78532397	3798.08870375	12843.7805389	2196.42296831	632.711167352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	1705.27213301	889.340617456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Hydrogenophaga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2371.07291049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17257.6090367	9490.66751028	5927.95257638	5340.79348932	1467.35143067	7585.33501896	11980.2677942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68089.1120176	29737.4248655	5015.95987232	4577.82299084	24211.298606	4214.07501054	11980.2677942	4149.37759336	0.0	1420.45454545	0.0	0.0	2245.17287831	3307.92463685	1671.6817118	1166.69097273	0.0
